Tiempo(s),Fuerza(N)
28.4,33.1442991
28.5,33.1442991
28.6,32.92865209
28.7,32.92865209
28.8,32.92865209
28.9,32.49735806
29,32.06606403
29.1,32.71300507
29.2,33.57559314
29.3,34.00688717
29.4,33.79124015
29.5,33.57559314
29.6,33.57559314
29.7,32.71300507
29.8,32.28171104
29.9,32.49735806
30,32.71300507
30.1,32.49735806
30.2,32.49735806
30.3,32.49735806
30.4,32.92865209
30.5,32.49735806
30.6,31.85041701
30.7,32.28171104
30.8,32.49735806
30.9,32.28171104
31,32.28171104
31.1,32.28171104
31.2,32.71300507
31.3,32.06606403
31.4,31.63476999
31.5,32.49735806
31.6,32.71300507
31.7,32.49735806
31.8,32.49735806
31.9,32.49735806
32,32.28171104
32.1,32.28171104
32.2,32.06606403
32.3,32.28171104
32.4,32.28171104
32.5,31.85041701
32.6,31.20347596
32.7,30.77218193
32.8,30.55653492
32.9,30.12524088
33,29.90959387
33.1,29.90959387
33.2,29.26265282
33.3,29.47829984
33.4,29.47829984
33.5,29.26265282
33.6,29.26265282
33.7,28.61571177
33.8,28.83135879
33.9,28.83135879
34,29.04700581
34.1,29.04700581
34.2,29.26265282
34.3,29.26265282
34.4,29.26265282
34.5,29.26265282
34.6,29.26265282
34.7,29.26265282
34.8,29.04700581
34.9,29.26265282
35,29.47829984
35.1,29.26265282
35.2,29.26265282
35.3,29.26265282
35.4,29.04700581
35.5,29.90959387
35.6,29.47829984
35.7,29.47829984
35.8,29.47829984
35.9,29.47829984
36,29.69394685
36.1,29.47829984
36.2,29.04700581
36.3,29.26265282
36.4,28.18441774
36.5,28.18441774
36.6,28.40006476
36.7,27.75312371
36.8,27.96877073
36.9,27.5374767
37,26.68836657
37.1,26.68836657
37.2,27.10618266
37.3,27.10618266
37.4,27.32182968
37.5,27.5374767
37.6,27.75312371
37.7,27.96877073
37.8,27.75312371
37.9,27.96877073
38,27.75312371
38.1,27.96877073
38.2,27.5374767
38.3,27.5374767
38.4,27.5374767
38.5,27.96877073
38.6,27.75312371
38.7,27.75312371
38.8,27.75312371
38.9,27.32182968
39,27.75312371
39.1,27.5374767
39.2,27.32182968
39.3,27.32182968
39.4,27.5374767
39.5,27.5374767
39.6,26.68836657
39.7,26.89053565
39.8,27.5374767
39.9,27.32182968
40,27.75312371
40.1,27.5374767
40.2,27.32182968
40.3,27.32182968
40.4,27.10618266
40.5,27.10618266
40.6,26.89053565
40.7,27.10618266
40.8,27.32182968
40.9,27.32182968
41,27.32182968
41.1,26.89053565
41.2,27.10618266
41.3,27.10618266
41.4,26.89053565
41.5,26.68836657
41.6,26.68836657
41.7,26.68836657
41.8,26.68836657
41.9,26.25707254
42,26.04142552
42.1,25.61013149
42.2,25.82577851
42.3,25.17883746
42.4,25.39448448
42.5,25.61013149
42.6,25.61013149
42.7,25.61013149
42.8,25.61013149
42.9,25.61013149
43,25.39448448
43.1,25.17883746
43.2,24.96319045
43.3,24.74754343
43.4,24.74754343
43.5,24.74754343
43.6,24.96319045
43.7,24.96319045
43.8,24.96319045
43.9,25.39448448
44,25.61013149
44.1,25.61013149
44.2,25.39448448
44.3,25.17883746
44.4,25.17883746
44.5,25.17883746
44.6,25.39448448
44.7,24.74754343
44.8,24.96319045
44.9,24.74754343
45,24.53189641
45.1,24.53189641
45.2,24.3162494
45.3,24.3162494
45.4,24.3162494
45.5,24.53189641
45.6,24.10060238
45.7,23.88495537
45.8,23.66930835
45.9,23.66930835
46,23.45366134
46.1,23.23801432
46.2,22.80672029
46.3,22.59107327
46.4,23.45366134
46.5,23.88495537
46.6,23.88495537
46.7,23.66930835
46.8,23.66930835
46.9,23.66930835
47,23.66930835
47.1,23.66930835
47.2,23.66930835
47.3,23.45366134
47.4,23.23801432
47.5,23.0223673
47.6,23.0223673
47.7,23.23801432
47.8,23.66930835
47.9,23.66930835
48,24.10060238
48.1,23.88495537
48.2,23.45366134
48.3,23.66930835
48.4,23.88495537
48.5,23.88495537
48.6,23.66930835
48.7,23.66930835
48.8,23.88495537
48.9,23.88495537
49,23.45366134
49.1,23.23801432
49.2,23.45366134
49.3,23.23801432
49.4,23.23801432
49.5,23.66930835
49.6,24.10060238
49.7,24.3162494
49.8,24.10060238
49.9,23.66930835
50,24.10060238
50.1,24.10060238
50.2,24.10060238
50.3,24.10060238
50.4,24.10060238
50.5,24.10060238
50.6,24.3162494
50.7,24.3162494
50.8,24.10060238
50.9,24.3162494
51,24.10060238
51.1,24.10060238
51.2,24.10060238
51.3,24.10060238
51.4,24.10060238
51.5,23.88495537
51.6,23.0223673
51.7,23.23801432
51.8,23.66930835
51.9,23.88495537
52,23.88495537
52.1,23.88495537
52.2,23.66930835
52.3,23.45366134
52.4,23.45366134
52.5,23.45366134
52.6,23.23801432
52.7,23.23801432
52.8,23.23801432
52.9,23.23801432
53,22.80672029
53.1,22.37542626
53.2,22.59107327
53.3,22.37542626
53.4,22.37542626
53.5,22.37542626
53.6,22.37542626
53.7,22.80672029
53.8,22.80672029
53.9,22.59107327
54,22.59107327
54.1,22.37542626
54.2,22.59107327
54.3,22.80672029
54.4,22.59107327
54.5,22.37542626
54.6,22.59107327
54.7,22.59107327
54.8,22.15977924
54.9,22.15977924
55,21.94413223
55.1,21.72848521
55.2,21.51283819
55.3,21.94413223
55.4,22.15977924
55.5,21.72848521
55.6,21.51283819
55.7,21.72848521
55.8,21.72848521
55.9,21.72848521
56,21.94413223
56.1,21.94413223
56.2,21.94413223
56.3,21.51283819
56.4,21.51283819
56.5,21.29719118
56.6,21.29719118
56.7,20.86589715
56.8,20.43460312
56.9,20.43460312
57,20.43460312
57.1,20.43460312
57.2,20.43460312
57.3,20.43460312
57.4,20.2189561
57.5,20.2189561
57.6,19.78766207
57.7,19.57201505
57.8,19.57201505
57.9,19.57201505
58,19.57201505
58.1,19.78766207
