Tiempo(s)	Caudal(L/s)	Volumen(L)
16.72	-1.092589929	0.811860056
16.74	-1.199111538	0.834777071
16.76	-1.257430631	0.859342493
16.78	-1.209228116	0.88400908
16.8	-1.150909022	0.907610451
16.82	-1.102111414	0.930140656
16.84	-1.102111414	0.952182884
16.86	-1.111632898	0.974320327
16.88	-1.053313805	0.995969794
16.9	-1.034270836	1.016845641
16.92	-1.005111289	1.037239462
16.94	-0.965835165	1.056948926
16.96	-0.965835165	1.07626563
16.98	-0.917037557	1.095094357
17	-0.897994588	1.113244678
17.02	-0.849196979	1.130716594
17.04	-0.781356401	1.147022128
17.06	-0.752196854	1.16235766
17.08	-0.742080277	1.177300432
17.1	-0.742080277	1.192142037
17.12	-0.742080277	1.206983643
17.14	-0.761718339	1.222021629
17.16	-0.732558792	1.2369644
17.18	-0.752196854	1.251811957
17.2	-0.761718339	1.266951109
17.22	-0.742080277	1.281989095
17.24	-0.683761184	1.296247509
17.26	-0.596282544	1.309047947
17.28	-0.508803904	1.320098811
17.3	-0.343368109	1.328620531
17.32	-0.197570376	1.334029916
17.34	-0.051772643	1.336523346
17.36	0.055344059	1.336487632
17.38	0.103546575	1.334898726
17.4	0.132706121	1.332536199
17.42	0.171982245	1.329489315
17.44	0.239822823	1.325371265
17.46	0.327301463	1.319700022
17.48	0.376099072	1.312666016
17.5	0.42489668	1.304656059
17.52	0.443939649	1.295967696
17.54	0.473099196	1.286797307
17.56	0.473099196	1.277335323
17.58	0.483215773	1.267772173
17.6	0.492737258	1.258012643
17.62	0.502258743	1.248062683
17.64	0.521896805	1.237821128
17.66	0.551056351	1.227091596
17.68	0.560577836	1.215975254
17.7	0.589737382	1.204472102
17.72	0.629013506	1.192284593
17.74	0.648056476	1.179513893
17.76	0.677216022	1.166261168
17.78	0.706375569	1.152425252
17.8	0.726013631	1.13810136
17.82	0.755173177	1.123289492
17.84	0.774811239	1.107989648
17.86	0.784332724	1.092398209
17.88	0.794449301	1.076610388
17.9	0.794449301	1.060721402
17.92	0.794449301	1.044832416
17.94	0.774811239	1.029139811
17.96	0.755173177	1.013839967
17.98	0.764694662	0.998641288
18	0.706375569	0.983930586
18.02	0.677216022	0.97009467
18.04	0.667694538	0.956645564
18.06	0.658173053	0.943386889
18.08	0.638534991	0.930419808
18.1	0.638534991	0.917649108
18.12	0.629013506	0.904973623
18.14	0.609375444	0.892589734
18.16	0.589737382	0.880598606
18.18	0.570694413	0.868994288
18.2	0.531418289	0.857973161
18.22	0.51237532	0.847535224
18.24	0.483215773	0.837579314
18.26	0.434418165	0.828402974
18.28	0.395737134	0.820101421
18.3	0.35646101	0.81257944
18.32	0.346939525	0.805545434
18.34	0.307663401	0.798999405
18.36	0.259460885	0.793328162
18.38	0.210663276	0.788626921
18.4	0.171982245	0.784800465
18.42	0.123184637	0.781848797
18.44	0.064865543	0.779968295
18.46	0.016067935	0.77915896
18.48	-0.061294128	0.779611222
18.5	-0.226729923	0.782491462
18.52	-0.528441966	0.790043181
18.54	-0.761718339	0.802944784
18.56	-0.927154134	0.819833509
18.58	-0.994994712	0.839054998
18.6	-1.072951867	0.859734463
18.62	-1.063430383	0.881098286
18.64	-1.053313805	0.902265728
18.66	-1.005111289	0.922849979
18.68	-0.965835165	0.942559443
18.7	-0.946197103	0.961679766
18.72	-0.946197103	0.980603708
18.74	-0.985473227	0.999920411
18.76	-1.034270836	1.020117852
18.78	-1.043792321	1.040898484
18.8	-1.034270836	1.061679115
18.82	-1.005111289	1.082072936
18.84	-0.956313681	1.101687186
18.86	-0.936675619	1.120617079
18.88	-0.878356526	1.138767401
18.9	-0.839675494	1.155947721
18.92	-0.781356401	1.17215804
18.94	-0.732558792	1.187297192
18.96	-0.693877761	1.201561557
18.98	-0.654601637	1.215046351
19	-0.635558668	1.227947954
19.02	-0.586761059	1.240171151
19.04	-0.537963451	1.251418397
19.06	-0.518325389	1.261981285
19.08	-0.508803904	1.272252578
19.1	-0.548080028	1.282821417
19.12	-0.615920606	1.294461424
19.14	-0.654601637	1.307166646
19.16	-0.654601637	1.320258679
19.18	-0.635558668	1.333160282
19.2	-0.586761059	1.345383479
19.22	-0.528441966	1.356535509
19.24	-0.450484811	1.366324777
19.26	-0.343368109	1.374263306
19.28	-0.304687078	1.380743858
19.3	-0.295165593	1.386742385
19.32	-0.353484687	1.393228888
19.34	-0.450484811	1.401268583
19.36	-0.528441966	1.41105785
19.38	-0.537963451	1.421721905
19.4	-0.489165842	1.431993198
19.42	-0.372527656	1.440610133
19.44	-0.217208438	1.446507493
19.46	-0.110091736	1.449780495
19.48	-0.100570252	1.451887115
19.5	-0.139251283	1.45428533
19.52	-0.255889469	1.458236738
19.54	-0.372527656	1.464520909
19.56	-0.401687202	1.472263058
19.58	-0.382644233	1.480106372
19.6	-0.32432514	1.487176066
19.62	-0.255889469	1.492978212
19.64	-0.197570376	1.49751281
19.66	-0.120208314	1.500690597
19.68	-0.022613096	1.502118811
19.7	0.09402509	1.501404691
19.72	0.210663276	1.498357808
19.74	0.307663401	1.493174541
19.76	0.395737134	1.486140536
19.78	0.531418289	1.476868981
19.8	0.677216022	1.464782638
19.82	0.900970911	1.449000769
19.84	1.134247283	1.428648587
19.86	1.328842625	1.404017688
19.88	1.465118874	1.376078073
19.9	1.572235575	1.345704529
19.92	1.659714215	1.313385031
19.94	1.650192731	1.280285961
19.96	1.650192731	1.247282107
19.98	1.650192731	1.214278252
20	1.630554669	1.181470778
