Tiempo(s),Fuerza(N)
28.4,38.30634954
28.5,39.81587865
28.6,40.4628197
28.7,41.10976075
28.8,41.10976075
28.9,40.4628197
29,39.81587865
29.1,39.38458462
29.2,38.09070253
29.3,35.93423237
29.4,36.14987939
29.5,38.09070253
29.6,38.73764357
29.7,38.09070253
29.8,38.09070253
29.9,38.09070253
30,37.87505551
30.1,37.87505551
30.2,37.01246745
30.3,37.01246745
30.4,37.01246745
30.5,37.87505551
30.6,37.87505551
30.7,37.01246745
30.8,36.3655264
30.9,36.14987939
31,35.93423237
31.1,36.14987939
31.2,36.14987939
31.3,35.93423237
31.4,36.3655264
31.5,37.01246745
31.6,37.87505551
31.7,37.87505551
31.8,38.09070253
31.9,37.87505551
32,37.01246745
32.1,36.79682043
32.2,36.3655264
32.3,36.14987939
32.4,36.14987939
32.5,36.14987939
32.6,36.14987939
32.7,36.3655264
32.8,36.3655264
32.9,35.93423237
33,36.14987939
33.1,36.14987939
33.2,36.3655264
33.3,36.58117342
33.4,36.14987939
33.5,36.14987939
33.6,35.71858535
33.7,35.71858535
33.8,36.58117342
33.9,35.71858535
34,34.42470326
34.1,34.20905624
34.2,35.07164431
34.3,34.42470326
34.4,34.42470326
34.5,34.42470326
34.6,33.79124015
34.7,34.64035028
34.8,34.64035028
34.9,34.42470326
35,35.07164431
35.1,35.50293834
35.2,35.71858535
35.3,35.07164431
35.4,34.42470326
35.5,34.20905624
35.6,34.00688717
35.7,34.20905624
35.8,33.57559314
35.9,34.42470326
36,33.57559314
36.1,33.35994612
36.2,34.64035028
36.3,33.1442991
36.4,34.42470326
36.5,35.07164431
36.6,35.07164431
36.7,34.64035028
36.8,35.07164431
36.9,36.14987939
37,36.14987939
37.1,36.3655264
37.2,35.93423237
37.3,35.28729132
37.4,35.50293834
37.5,35.28729132
37.6,35.50293834
37.7,35.50293834
37.8,35.71858535
37.9,35.50293834
38,36.14987939
38.1,36.14987939
38.2,36.3655264
38.3,37.01246745
38.4,38.09070253
38.5,38.09070253
38.6,37.87505551
38.7,37.01246745
38.8,38.30634954
38.9,39.16893761
39,39.16893761
39.1,38.73764357
39.2,39.16893761
39.3,39.16893761
39.4,39.38458462
39.5,39.16893761
39.6,39.16893761
39.7,38.73764357
39.8,38.95329059
39.9,37.87505551
40,37.01246745
40.1,37.87505551
40.2,37.87505551
40.3,36.79682043
40.4,37.01246745
40.5,36.79682043
40.6,37.87505551
40.7,38.73764357
40.8,38.52199656
40.9,38.30634954
41,38.52199656
41.1,38.30634954
41.2,38.73764357
41.3,38.95329059
41.4,38.95329059
41.5,38.73764357
41.6,38.52199656
41.7,38.73764357
41.8,37.01246745
41.9,37.87505551
42,38.52199656
42.1,36.3655264
42.2,37.87505551
42.3,39.16893761
42.4,39.60023164
42.5,39.60023164
42.6,39.60023164
42.7,39.38458462
42.8,37.87505551
42.9,36.79682043
43,37.87505551
43.1,38.73764357
43.2,38.52199656
43.3,38.52199656
43.4,37.87505551
43.5,36.79682043
43.6,36.3655264
43.7,38.09070253
43.8,40.4628197
43.9,40.89411373
44,40.67846672
44.1,39.60023164
44.2,39.60023164
44.3,39.81587865
44.4,39.60023164
44.5,39.81587865
44.6,40.24717268
44.7,40.24717268
44.8,40.4628197
44.9,40.4628197
45,40.4628197
45.1,40.4628197
45.2,40.03152567
45.3,39.38458462
45.4,39.60023164
45.5,40.67846672
45.6,40.4628197
45.7,39.81587865
45.8,39.81587865
45.9,39.81587865
46,39.38458462
46.1,39.60023164
46.2,39.16893761
46.3,39.60023164
